"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"24.Cumulative",41,58.6125859475503,35.5284925071263,82.3664972279243,12.0749464253408,-17.6125859475503,-41.3664972279243,5.47150749287371,12.0749464253408,-0.300491535441056,-0.70576134048993,0.0933503854917767,0.206012859356625,0.05,0.071578947368421
"25.Average",2.7,3.28350447745782,2.61818172468056,3.96522034524147,0.341384858345235,-0.583504477457816,-1.26522034524147,0.0818182753194387,0.341384858345235,-0.177707836692089,-0.385326212870293,0.0249179728187198,0.103969664329359,0.05,0.0476190476190476
"25.Cumulative",162,197.010268647469,157.090903480834,237.913220714488,20.4830915007141,-35.010268647469,-75.9132207144882,4.90909651916632,20.4830915007141,-0.177707836692089,-0.385326212870293,0.0249179728187198,0.103969664329359,0.05,0.0476190476190476
"26.Average",0.816666666666667,0.919162347262904,0.58350901402553,1.2861439340509,0.176684650098564,-0.102495680596238,-0.46947726738423,0.233157652641137,0.176684650098564,-0.111509877337177,-0.510766426390557,0.253663189463142,0.192223550741279,0.05,0.282
"26.Cumulative",49,55.1497408357743,35.0105408415318,77.1686360430538,10.6010790059138,-6.14974083577427,-28.1686360430538,13.9894591584682,10.6010790059138,-0.111509877337177,-0.510766426390557,0.253663189463142,0.192223550741279,0.05,0.282
"27.Average",0.766666666666667,1.0089527463228,0.629745164113553,1.40113344046488,0.191181419808672,-0.242286079656129,-0.634466773798217,0.136921502553113,0.191181419808672,-0.240136201164186,-0.628836956052282,0.135706556181282,0.189485008594751,0.05,0.096
"27.Cumulative",46,60.5371647793677,37.7847098468132,84.068006427893,11.4708851885203,-14.5371647793677,-38.068006427893,8.21529015318679,11.4708851885203,-0.240136201164186,-0.628836956052282,0.135706556181282,0.189485008594751,0.05,0.096
"28.Average",0.933333333333333,1.70576684012225,1.2306171139148,2.17147234828989,0.240411175207808,-0.772433506788915,-1.23813901495656,-0.297283780581469,0.240411175207808,-0.452836512365052,-0.725854780286282,-0.174281603785992,0.140940232599772,0.05,0.00140056022408964
"28.Cumulative",56,102.346010407335,73.8370268348881,130.288340897394,14.4246705124685,-46.3460104073349,-74.2883408973936,-17.8370268348881,14.4246705124685,-0.452836512365052,-0.725854780286282,-0.174281603785992,0.140940232599772,0.05,0.00140056022408964
"29.Average",1.61666666666667,1.60943218697411,1.15200396335518,2.11520994081487,0.251344500663955,0.00723447969255209,-0.498543274148208,0.464662703311483,0.251344500663955,0.0044950509571662,-0.309763454579293,0.288712197427276,0.156169674434377,0.05,0.494397759103641
