"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"16.Cumulative",3,5.17166839451625,-1.96901252381456,12.4874473919466,3.58739823354526,-2.17166839451625,-9.48744739194664,4.96901252381456,3.58739823354526,-0.419916403924692,-1.8345042002319,0.960814217919198,0.693663622623047,0.05,0.263966480446927
"17.Average",0.0666666666666667,0.0434819037122752,-0.0298684656384751,0.117956193478987,0.0373314136922099,0.0231847629543915,-0.0512895268123201,0.0965351323051418,0.0373314136922099,0.533204873176845,-1.17956028677375,2.22012202924522,0.858550580932155,0.05,0.262262262262262
"17.Cumulative",4,2.60891422273651,-1.79210793830851,7.07737160873921,2.23988482153259,1.39108577726349,-3.07737160873921,5.79210793830851,2.23988482153259,0.533204873176845,-1.17956028677375,2.22012202924522,0.858550580932155,0.05,0.262262262262262
"18.Average",0.0333333333333333,0.0437513892429041,-0.0161006853341133,0.102532319576685,0.0304844229411974,-0.0104180559095708,-0.069198986243352,0.0494340186674466,0.0304844229411974,-0.238119430944938,-1.58164089051355,1.12988454819098,0.696764684932639,0.05,0.399543378995434
"18.Cumulative",2,2.62508335457425,-0.966041120046798,6.15193917460112,1.82906537647184,-0.625083354574248,-4.15193917460112,2.9660411200468,1.82906537647184,-0.238119430944938,-1.58164089051355,1.12988454819098,0.696764684932639,0.05,0.399543378995434
"19.Average",0.4,0.525671129389819,0.278723745315764,0.753757879332316,0.124022573432337,-0.125671129389819,-0.353757879332316,0.121276254684236,0.124022573432337,-0.239067969237143,-0.672964253796752,0.230707466900472,0.235931871655759,0.05,0.156345177664975
"19.Cumulative",24,31.5402677633892,16.7234247189459,45.225472759939,7.44135440594021,-7.54026776338916,-21.225472759939,7.27657528105413,7.44135440594021,-0.239067969237143,-0.672964253796752,0.230707466900472,0.235931871655759,0.05,0.156345177664975
"2.Average",0.0333333333333333,0.318123237043831,0.17143605206578,0.472915141128072,0.0768743011231559,-0.284789903710498,-0.439581807794739,-0.138102718732447,0.0768743011231559,-0.895218803746987,-1.38179723015384,-0.434117042237372,0.241649436983957,0.05,0.00121802679658952
"2.Cumulative",2,19.0873942226299,10.2861631239468,28.3749084676843,4.61245806738935,-17.0873942226299,-26.3749084676844,-8.28616312394679,4.61245806738935,-0.895218803746987,-1.38179723015384,-0.434117042237372,0.241649436983957,0.05,0.00121802679658952
"20.Average",0.0666666666666667,0.173176647036859,0.0358630778815387,0.315817620598252,0.0687316514862704,-0.106509980370192,-0.249150953931585,0.030803588785128,0.0687316514862704,-0.61503662412128,-1.4387098849336,0.177873802918541,0.396887528788115,0.05,0.0551090700344432
